sku,store_view_code,product_badge
fw72318-spc-000339-2318-50,ae-en,Use code: SPECTUS
fw70118-spc-000340-0118-56,ae-en,Use code: SPECTUS
fw70518-spc-000340-0518-56,ae-en,Use code: SPECTUS
fw71218-spc-000340-1218-56,ae-en,Use code: SPECTUS
fw72318-spc-000340-2318-56,ae-en,Use code: SPECTUS
fw30118-spc-000341-0118-52,ae-en,Use code: SPECTUS
fw30518-spc-000341-0518-52,ae-en,Use code: SPECTUS
fw31218-spc-000341-1218-52,ae-en,Use code: SPECTUS
fw32318-spc-000341-2318-52,ae-en,Use code: SPECTUS
fw40118-spc-000342-0118-52,ae-en,Use code: SPECTUS
fw40518-spc-000342-0518-52,ae-en,Use code: SPECTUS
fw41218-spc-000342-1218-52,ae-en,Use code: SPECTUS
fw42318-spc-000342-2318-52,ae-en,Use code: SPECTUS
fw20118-spc-000343-0118-52,ae-en,Use code: SPECTUS
fw20518-spc-000343-0518-52,ae-en,Use code: SPECTUS
fw21218-spc-000343-1218-52,ae-en,Use code: SPECTUS
fw22318-spc-000343-2318-52,ae-en,Use code: SPECTUS
fu20118-spc-000344-0118-49,ae-en,Use code: SPECTUS
fu20718-spc-000344-0718-49,ae-en,Use code: SPECTUS
fu21318-spc-000344-1318-49,ae-en,Use code: SPECTUS
fu21418-spc-000344-1418-49,ae-en,Use code: SPECTUS
fu40118-spc-000345-0118-54,ae-en,Use code: SPECTUS
fu40718-spc-000345-0718-54,ae-en,Use code: SPECTUS
fu41318-spc-000345-1318-54,ae-en,Use code: SPECTUS
fu41418-spc-000345-1418-54,ae-en,Use code: SPECTUS
fu50118-spc-000346-0118-50,ae-en,Use code: SPECTUS
fu50718-spc-000346-0718-50,ae-en,Use code: SPECTUS
fu51318-spc-000346-1318-50,ae-en,Use code: SPECTUS
fu51418-spc-000346-1418-50,ae-en,Use code: SPECTUS
fu20118-spc-000347-0118-48,ae-en,Use code: SPECTUS
fu20718-spc-000347-0718-48,ae-en,Use code: SPECTUS
fu21318-spc-000347-1318-48,ae-en,Use code: SPECTUS
fu21418-spc-000347-1418-48,ae-en,Use code: SPECTUS
fu50118-spc-000348-0118-52,ae-en,Use code: SPECTUS
fu50718-spc-000348-0718-52,ae-en,Use code: SPECTUS
fu51318-spc-000348-1318-52,ae-en,Use code: SPECTUS
fu51418-spc-000348-1418-52,ae-en,Use code: SPECTUS
fu10118-spc-000349-0118-55,ae-en,Use code: SPECTUS
fu10518-spc-000349-0518-55,ae-en,Use code: SPECTUS
fu10718-spc-000349-0718-55,ae-en,Use code: SPECTUS
fu11218-spc-000349-1218-55,ae-en,Use code: SPECTUS
fu20118-spc-000350-0118-53,ae-en,Use code: SPECTUS
fu20518-spc-000350-0518-53,ae-en,Use code: SPECTUS
fu20718-spc-000350-0718-53,ae-en,Use code: SPECTUS
fu21218-spc-000350-1218-53,ae-en,Use code: SPECTUS
fu40118-spc-000351-0118-55,ae-en,Use code: SPECTUS
fu40518-spc-000351-0518-55,ae-en,Use code: SPECTUS
fu40718-spc-000351-0718-55,ae-en,Use code: SPECTUS
fu41218-spc-000351-1218-55,ae-en,Use code: SPECTUS
fu50118-spc-000352-0118-54,ae-en,Use code: SPECTUS
fu50518-spc-000352-0518-54,ae-en,Use code: SPECTUS
fu50718-spc-000352-0718-54,ae-en,Use code: SPECTUS
fu51218-spc-000352-1218-54,ae-en,Use code: SPECTUS
fu70118-spc-000353-0118-53,ae-en,Use code: SPECTUS
fu70518-spc-000353-0518-53,ae-en,Use code: SPECTUS
fu70718-spc-000353-0718-53,ae-en,Use code: SPECTUS
fu71218-spc-000353-1218-53,ae-en,Use code: SPECTUS
fu30118-spc-000354-0118-53,ae-en,Use code: SPECTUS
fu30518-spc-000354-0518-53,ae-en,Use code: SPECTUS
fu30718-spc-000354-0718-53,ae-en,Use code: SPECTUS
fu31218-spc-000354-1218-53,ae-en,Use code: SPECTUS
fm20118-spc-000185-0100-46,ae-en,Use code: SPECTUS
fm21418-spc-000185-0218-46,ae-en,Use code: SPECTUS
fm20218-spc-000185-1400-46,ae-en,Use code: SPECTUS
fw20118-spc-000277-0100-50,ae-en,Use code: SPECTUS
fw21418-spc-000277-0400-50,ae-en,Use code: SPECTUS
fw20818-spc-000277-1400-50,ae-en,Use code: SPECTUS
fm40218-spc-000315-0200-50,ae-en,Use code: SPECTUS
fm40218-spc-000315-2800-50,ae-en,Use code: SPECTUS
fm20218-spc-000316-0200-43,ae-en,Use code: SPECTUS
fm20218-spc-000316-2800-43,ae-en,Use code: SPECTUS
fm50218-spc-000317-0200-50,ae-en,Use code: SPECTUS
fm50218-spc-000317-2800-50,ae-en,Use code: SPECTUS
fm40218-spc-000318-0200-53,ae-en,Use code: SPECTUS
fm40218-spc-000318-2800-53,ae-en,Use code: SPECTUS
fw30918-spc-000330-0900-53,ae-en,Use code: SPECTUS
fw31418-spc-000330-1400-53,ae-en,Use code: SPECTUS
fw40918-spc-000331-0900-53,ae-en,Use code: SPECTUS
fw41418-spc-000331-1400-53,ae-en,Use code: SPECTUS
fw20918-spc-000332-0900-49,ae-en,Use code: SPECTUS
fw21418-spc-000332-1400-49,ae-en,Use code: SPECTUS
fw50918-spc-000333-0900-48,ae-en,Use code: SPECTUS
fw51418-spc-000333-1400-48,ae-en,Use code: SPECTUS
fw30918-spc-000334-0900-52,ae-en,Use code: SPECTUS
